"Grid_Point
Latitude","Grid_Point
Longitude",Date,ERA5_RAIN (mm)
22.6,76.1,15-10-2006,0.0004
22.7,75.7,15-10-2006,0.0004
22.7,75.8,15-10-2006,0.0004
22.7,75.9,15-10-2006,0.0004
22.7,76,15-10-2006,0.0004
22.7,76.1,15-10-2006,0.0004
22.8,75.7,15-10-2006,0.0004
22.8,75.8,15-10-2006,0.0004
22.8,75.9,15-10-2006,0.0004
22.8,76,15-10-2006,0.0004
22.8,76.1,15-10-2006,0.0004
22.6,75.7,16-10-2006,0.0009
22.6,75.8,16-10-2006,0.0009
22.6,75.9,16-10-2006,0.0009
22.6,76,16-10-2006,0.0009
22.6,76.1,16-10-2006,0.0009
22.7,75.7,16-10-2006,0.0009
22.7,75.8,16-10-2006,0.0009
22.7,75.9,16-10-2006,0.0009
22.7,76,16-10-2006,0.0009
22.7,76.1,16-10-2006,0.0009
22.8,75.7,16-10-2006,0.0009
22.8,75.8,16-10-2006,0.0009
22.8,75.9,16-10-2006,0.0009
22.8,76,16-10-2006,0.0009
22.8,76.1,16-10-2006,0.0009
22.6,75.7,17-10-2006,0.0026
22.6,75.8,17-10-2006,0.0026
22.6,75.9,17-10-2006,0.0026
22.6,76,17-10-2006,0.0026
22.6,76.1,17-10-2006,0.0026
22.7,75.7,17-10-2006,0.0026
22.7,75.8,17-10-2006,0.0026
22.7,75.9,17-10-2006,0.0026
22.7,76,17-10-2006,0.0026
22.7,76.1,17-10-2006,0.0026
22.8,75.7,17-10-2006,0.0026
22.8,75.8,17-10-2006,0.0026
22.8,75.9,17-10-2006,0.0026
22.8,76,17-10-2006,0.0026
22.8,76.1,17-10-2006,0.0026
22.6,75.7,18-10-2006,0
22.6,75.8,18-10-2006,0
